draft_num	pick_num	human_pick	RandomBot	RaredraftBot	ClassicBot	NNetBot
13	3	Star-Crowned_Stag	0	0	1	0
13	4	Oreskos_Swiftclaw	0	0	0	0
13	5	Transmogrifying_Wand	0	1	0	1
13	6	Diregraf_Ghoul	0	1	0	0
13	7	Walking_Corpse	0	0	0	0
13	8	Child_of_Night	0	1	0	0
13	9	Rustwing_Falcon	1	1	1	0
13	10	Oreskos_Swiftclaw	0	0	0	0
13	11	Walking_Corpse	0	1	0	0
13	12	Bone_to_Ash	0	1	0	0
13	13	Walking_Corpse	0	1	0	0
13	14	Infectious_Horror	1	0	0	0
13	15	Root_Snare	1	1	1	1
13	16	Murder	0	0	0	0
13	17	Take_Vengeance	0	0	0	0
13	18	Pegasus_Courser	0	0	1	0
13	19	Gallant_Cavalry	0	0	1	0
13	20	Reassembling_Skeleton	0	1	0	0
13	21	Knight's_Pledge	0	0	0	0
13	22	Gigantosaurus	0	1	0	1
13	23	Field_Creeper	0	0	0	0
13	24	Walking_Corpse	0	0	0	0
13	25	Epicure_of_Blood	0	0	0	0
13	26	Vampire_Neonate	0	0	1	0
13	27	Wall_of_Mist	0	1	1	0
13	28	Sovereign's_Bite	0	1	0	1
13	29	Alpine_Moon	1	1	0	1
13	30	Infectious_Horror	1	1	1	1
13	31	Vigilant_Baloth	0	0	1	0
13	32	Pegasus_Courser	0	0	0	0
13	33	Diregraf_Ghoul	0	0	0	0
13	34	Diregraf_Ghoul	0	1	0	0
13	35	Daybreak_Chaplain	0	0	0	0
13	36	Havoc_Devils	1	0	0	0
13	37	Essence_Scatter	0	0	1	0
13	38	Leonin_Vanguard	0	1	1	0
13	39	Walking_Corpse	0	0	0	0
13	40	Skyrider_Patrol	0	1	1	0
13	41	Stitcher's_Supplier	0	1	0	0
13	42	Brawl-Bash_Ogre	0	1	0	1
13	43	Smelt	0	0	0	0
13	44	Crash_Through	1	1	1	1
13	45	Forest_2	1	1	1	1
14	1	Psychic_Corrosion	0	0	0	0
14	2	Totally_Lost	0	0	0	0
14	3	Essence_Scatter	0	0	1	0
14	4	Tolarian_Scholar	0	0	0	0
14	5	Ghostform	0	0	0	0
14	6	Snapping_Drake	1	0	0	0
14	7	Tolarian_Scholar	0	0	0	0
14	8	Ghostform	0	0	0	0
14	9	Divination	0	1	1	1
14	10	Gigantosaurus	0	1	0	1
14	11	Gearsmith_Prodigy	1	1	1	0
14	12	Enigma_Drake	0	1	1	0
14	13	Act_of_Treason	1	1	1	0
14	14	Enigma_Drake	0	1	1	1
14	15	Island_3	1	1	1	1
14	16	Aven_Wind_Mage	0	0	0	0
14	17	Divination	0	0	0	0
14	18	Disperse	0	0	0	0
14	19	Dwindle	0	0	0	1
14	20	Snapping_Drake	1	0	0	0
14	21	Essence_Scatter	0	0	0	1
14	22	Wall_of_Mist	0	0	1	0
14	23	Divination	1	0	1	1
14	24	Anticipate	1	0	0	0
14	25	Totally_Lost	0	1	1	1
14	26	Scholar_of_Stars	0	1	0	0
14	27	Rustwing_Falcon	1	0	0	0
14	28	Invoke_the_Divine	0	1	0	0
14	29	Duress	1	0	1	0
14	30	Plains_1	1	1	1	1
14	31	Departed_Deckhand	0	0	1	1
14	32	Snapping_Drake	0	0	0	0
14	33	Frilled_Sea_Serpent	0	0	0	0
14	34	Snapping_Drake	0	0	0	0
14	35	Marauder's_Axe	0	0	0	0
14	36	Wall_of_Mist	0	0	0	0
14	37	Mind_Rot	1	0	0	0
14	38	Totally_Lost	0	1	0	0
14	39	Cancel	0	0	0	1
14	40	Chaos_Wand	0	1	1	1
14	41	Mind_Rot	0	1	1	0
14	42	Rustwing_Falcon	0	1	0	0
14	43	Sovereign's_Bite	0	1	1	0
14	44	Ajani's_Welcome	0	1	1	1
14	45	Plains_3	1	1	1	1
15	1	Demanding_Dragon	0	1	1	1
15	2	Shock	0	0	1	1
15	3	Hostile_Minotaur	0	0	1	1
15	4	Titanic_Growth	0	0	0	0
15	5	Abnormal_Endurance	0	0	0	0
15	6	Onakke_Ogre	0	1	0	0
15	7	Onakke_Ogre	0	0	0	0
15	8	Rhox_Oracle	1	0	1	0
15	9	Doomed_Dissenter	0	0	0	1
15	10	Two-Headed_Zombie	0	1	0	1
15	11	Ghostform	1	0	0	0
15	12	Aven_Wind_Mage	0	0	0	0
